slot,task,step,cumulative_gradient_target_tokens,gate_nll,protected_if_score
T2,wikipedia_is,0,0,2.20748195237657,44
T2,wikipedia_is,1,6505,2.20748429336515,44
T2,wikipedia_is,2,14274,2.20673037689245,43
T2,wikipedia_is,3,20782,2.20440224616226,44
T2,wikipedia_is,4,27449,2.1999135072473,43
T2,wikipedia_is,5,34601,2.19246554240169,43
T2,wikipedia_is,6,41704,2.18228253600993,43
T2,wikipedia_is,7,48534,2.17099814201969,44
T2,wikipedia_is,8,55958,2.16108824666807,44
T2,wikipedia_is,9,62610,2.15460028513536,44
T2,wikipedia_is,10,69625,2.14944826802028,44
T2,wikipedia_is,11,76958,2.14184801835811,44
T2,wikipedia_is,12,83942,2.13491651485419,44
T2,wikipedia_is,13,90664,2.12824149716483,44
T2,wikipedia_is,14,97683,2.12352359875724,44
T2,wikipedia_is,15,104447,2.12002703374656,45
T2,wikipedia_is,16,109940,2.11734008317265,44
T2,wikipedia_is,17,117205,2.11545730504561,44
T2,wikipedia_is,18,123948,2.1122819209123,43
T2,wikipedia_is,19,131765,2.10954394611467,45
T2,wikipedia_is,20,137999,2.10625946016386,44
T2,wikipedia_is,21,144004,2.1032830234818,44
T2,wikipedia_is,22,151711,2.10022392899251,44
T2,wikipedia_is,23,159510,2.09744687839613,44
T2,wikipedia_is,24,166859,2.09473128290706,44
T2,wikipedia_is,25,174422,2.09238083044129,44
T2,wikipedia_is,26,182220,2.08998654797842,44
T2,wikipedia_is,27,189197,2.08727245138101,43
T2,wikipedia_is,28,196710,2.08433271231499,43
T2,wikipedia_is,29,204270,2.08135022644188,42
T2,wikipedia_is,30,211498,2.07786862017359,44
T2,wikipedia_is,31,218535,2.07462931753529,42
T2,wikipedia_is,32,225976,2.07194018701782,42
T2,wikipedia_is,33,232949,2.06975233146532,42
T2,wikipedia_is,34,239841,2.06776156456212,43
T2,wikipedia_is,35,246365,2.06617791823263,42
T2,wikipedia_is,36,253285,2.06445170896241,43
T2,wikipedia_is,37,259500,2.06286429393813,44
T2,wikipedia_is,38,265556,2.0612331770518,43
T2,wikipedia_is,39,272454,2.05982206277434,44
T2,wikipedia_is,40,280387,2.05785557614384,44
T2,wikipedia_is,41,286571,2.05615903681633,44
T2,wikipedia_is,42,293185,2.05441267435527,43
T2,wikipedia_is,43,299297,2.05313363755715,44
T2,wikipedia_is,44,306408,2.05207170446108,43
T2,wikipedia_is,45,313635,2.05058941105027,43
T2,wikipedia_is,46,320629,2.04940115995124,44
T2,wikipedia_is,47,327728,2.04779650824769,44
T2,wikipedia_is,48,334935,2.04652182961778,43
T2,wikipedia_is,49,341864,2.0452261768641,42
T2,wikipedia_is,50,349069,2.04395574463052,44
T2,wikipedia_is,51,355680,2.04281255317436,43
T2,wikipedia_is,52,362496,2.04199840579616,43
T2,wikipedia_is,53,369475,2.04107990473877,42
T2,wikipedia_is,54,376342,2.04009923057604,43
T2,wikipedia_is,55,384175,2.03947301284732,43
T2,wikipedia_is,56,390899,2.0385325463613,43
T2,wikipedia_is,57,398330,2.03781704371089,42
T2,wikipedia_is,58,404934,2.03706199621973,42
T2,wikipedia_is,59,412315,2.03570559159901,42
T2,wikipedia_is,60,418875,2.03454380617148,42
T2,wikipedia_is,61,425127,2.03353294334572,41
T2,wikipedia_is,62,431860,2.03287610306032,43
T2,wikipedia_is,63,440008,2.0317989321128,42
T2,wikipedia_is,64,446968,2.03077453542757,43
T2,wikipedia_is,65,454135,2.0296523362001,42
T2,wikipedia_is,66,461230,2.02868999701724,42
T2,wikipedia_is,67,468971,2.02751362395733,42
T2,wikipedia_is,68,475781,2.02682169308707,42
T2,wikipedia_is,69,482522,2.02580429269158,41
T2,wikipedia_is,70,489655,2.02491647668446,41
T2,wikipedia_is,71,495851,2.02397652453291,41
T2,wikipedia_is,72,502093,2.02313815608591,41
T2,wikipedia_is,73,509265,2.02232006340629,41
T2,wikipedia_is,74,516811,2.0215134655292,41
T2,wikipedia_is,75,523701,2.02115328356017,41
T2,wikipedia_is,76,530310,2.020347992332,41
T2,wikipedia_is,77,536090,2.0198157830218,41
T2,wikipedia_is,78,542379,2.01916254204145,41
T2,wikipedia_is,79,549041,2.01871845122822,41
T2,wikipedia_is,80,556251,2.01806138746431,41
T2,wikipedia_is,81,562435,2.01729877493339,41
T2,wikipedia_is,82,569353,2.01601339677089,42
T2,wikipedia_is,83,576741,2.01485742164409,41
T2,wikipedia_is,84,584573,2.01342041818793,43
T2,wikipedia_is,85,591232,2.01279526455844,41
T2,wikipedia_is,86,597830,2.01237814365934,42
T2,wikipedia_is,87,605936,2.0116066079764,41
T2,wikipedia_is,88,612715,2.01099573967448,42
T2,wikipedia_is,89,620248,2.01040300962105,42
T2,wikipedia_is,90,627400,2.00954392720035,41
T2,wikipedia_is,91,633912,2.00839539545207,42
T2,wikipedia_is,92,641667,2.00731896532857,42
T2,wikipedia_is,93,647531,2.00620667603288,42
T2,wikipedia_is,94,654672,2.00532534144065,42
T2,wikipedia_is,95,661568,2.0045387022901,43
T2,wikipedia_is,96,668375,2.00364562074797,43
T2,wikipedia_is,97,674963,2.00317125468544,43
T2,wikipedia_is,98,681904,2.00236917175745,43
T2,wikipedia_is,99,688550,2.00170806467951,43
T2,wikipedia_is,100,695188,2.00110126565786,43
T2,wikipedia_is,101,701893,2.00054744150505,43
T2,wikipedia_is,102,708706,2.00015458181653,43
T2,wikipedia_is,103,715211,1.99936417620759,43
T2,wikipedia_is,104,721887,1.99850851520097,43
T2,wikipedia_is,105,728461,1.99772914156964,43
T2,wikipedia_is,106,735124,1.9967804703795,43
T2,wikipedia_is,107,741780,1.99589749295556,43
T2,wikipedia_is,108,749261,1.99467078888167,43
T2,wikipedia_is,109,755333,1.99390972735424,43
T2,wikipedia_is,110,762185,1.99339977637436,44
T2,wikipedia_is,111,769611,1.99284251059308,43
T2,wikipedia_is,112,777124,1.99279647957557,44
T2,wikipedia_is,113,783296,1.99207946775374,43
T2,wikipedia_is,114,790368,1.99123255525878,43
T2,wikipedia_is,115,797089,1.99018421712086,44
T2,wikipedia_is,116,803904,1.98891681787901,44
T2,wikipedia_is,117,811778,1.9879073632593,44
T2,wikipedia_is,118,818251,1.98667236677569,43
T2,wikipedia_is,119,824899,1.9859213353049,43
T2,wikipedia_is,120,832203,1.98547871197305,44
T7,legal_text,0,0,2.53232527180907,43
T7,legal_text,1,8192,2.53225322919444,43
T7,legal_text,2,16384,2.53158158321606,43
T7,legal_text,3,24576,2.52888020222789,43
T7,legal_text,4,32768,2.52337383178701,43
T7,legal_text,5,40960,2.51451858576398,43
T7,legal_text,6,49152,2.50213578484106,43
T7,legal_text,7,57098,2.48901506848711,43
T7,legal_text,8,65290,2.47799138653451,42
T7,legal_text,9,73482,2.47014690676386,42
T7,legal_text,10,81674,2.46418085779113,42
T7,legal_text,11,89866,2.45730134534697,41
T7,legal_text,12,98058,2.4501777104226,41
T7,legal_text,13,106250,2.44262157794706,42
T7,legal_text,14,114442,2.43567342622381,41
T7,legal_text,15,122634,2.43038912700833,41
T7,legal_text,16,130826,2.42581367921508,41
T7,legal_text,17,139018,2.42215706819328,41
T7,legal_text,18,147160,2.41908542709699,41
T7,legal_text,19,155352,2.41545411962076,41
T7,legal_text,20,163544,2.41214018266077,41
T7,legal_text,21,171736,2.40938915454837,42
T7,legal_text,22,179928,2.4070017398352,41
T7,legal_text,23,188120,2.40516232773899,41
T7,legal_text,24,196312,2.40360276414928,41
T7,legal_text,25,204504,2.40200328850405,41
T7,legal_text,26,212696,2.40017782526365,41
T7,legal_text,27,220888,2.39871764857182,41
T7,legal_text,28,229080,2.39711747816719,41
T7,legal_text,29,237272,2.39494721013985,40
T7,legal_text,30,245464,2.39332781073671,41
T7,legal_text,31,253271,2.39178799533047,42
T7,legal_text,32,261463,2.39088468360115,41
T7,legal_text,33,269655,2.39014265786908,41
T7,legal_text,34,277847,2.38923156888795,40
T7,legal_text,35,286039,2.38836354014641,41
T7,legal_text,36,294179,2.38714537168753,40
T7,legal_text,37,302371,2.38648749261482,41
T7,legal_text,38,310563,2.38579206003076,40
T7,legal_text,39,318755,2.38532297564584,40
T7,legal_text,40,326947,2.38541081877346,41
T7,legal_text,41,335139,2.38511441394921,40
T7,legal_text,42,343331,2.38486356987864,40
T7,legal_text,43,351523,2.38395804811374,40
T7,legal_text,44,359715,2.38310539475834,40
T7,legal_text,45,367907,2.38208497697404,40
T7,legal_text,46,376099,2.38166544210801,40
T7,legal_text,47,384291,2.38080361817825,40
T7,legal_text,48,392483,2.38010506253571,40
T7,legal_text,49,400675,2.3794777448427,40
T7,legal_text,50,408867,2.37848900060362,40
T7,legal_text,51,417059,2.37756141355549,40
T7,legal_text,52,425251,2.37632277351517,40
T7,legal_text,53,433443,2.3752655969526,40
T7,legal_text,54,441635,2.37428669421587,40
T7,legal_text,55,449827,2.37350914065843,40
T7,legal_text,56,457612,2.37285623788092,40
T7,legal_text,57,465804,2.37246403942067,40
T7,legal_text,58,473996,2.3724001871726,40
T7,legal_text,59,482188,2.37259004844859,40
T7,legal_text,60,490380,2.37233814421473,40
T7,legal_text,61,498572,2.37227092584624,40
T7,legal_text,62,506764,2.37190767051969,40
T7,legal_text,63,514956,2.37191027881264,40
T7,legal_text,64,523148,2.37150638482033,40
T7,legal_text,65,531340,2.37065863287655,40
T7,legal_text,66,539532,2.36985240964598,40
T7,legal_text,67,547724,2.36889290938969,41
T7,legal_text,68,555916,2.36826453289525,41
T7,legal_text,69,564108,2.36773582247671,41
T7,legal_text,70,572300,2.36744779602819,41
T7,legal_text,71,580492,2.36721582881529,41
T7,legal_text,72,588684,2.36732026225078,41
T7,legal_text,73,596876,2.36721624763383,42
T7,legal_text,74,605068,2.36703407196497,41
T7,legal_text,75,612999,2.3668517948184,42
T7,legal_text,76,621191,2.36655358033677,42
T7,legal_text,77,629383,2.36621372101747,41
T7,legal_text,78,637575,2.36537621449826,41
T7,legal_text,79,645767,2.36466602078839,41
T7,legal_text,80,653959,2.36409496684682,41
T7,legal_text,81,662151,2.36363862982882,41
T7,legal_text,82,670343,2.36321008112303,41
T7,legal_text,83,678535,2.36320427398595,41
T7,legal_text,84,686686,2.3632334685992,41
T7,legal_text,85,694878,2.36298663356768,41
T7,legal_text,86,703070,2.36283925444557,41
T7,legal_text,87,711262,2.36317188565588,41
T7,legal_text,88,719454,2.36355480186398,41
T7,legal_text,89,727646,2.36363019178897,41
T7,legal_text,90,735838,2.36345313679438,41
T7,legal_text,91,744030,2.36322415458127,41
T7,legal_text,92,752222,2.36274933210693,41
T7,legal_text,93,760414,2.36250646217069,41
T7,legal_text,94,768606,2.36214724336161,41
T7,legal_text,95,776407,2.36136072110408,41
T7,legal_text,96,784599,2.36124592724585,41
T7,legal_text,97,792791,2.36089182844788,42
T7,legal_text,98,800983,2.36012952771645,42
T7,legal_text,99,809175,2.35950895522589,42
T7,legal_text,100,817367,2.35884359983235,42
T7,legal_text,101,825559,2.35822903032376,42
T7,legal_text,102,833751,2.35760342150941,42
T7,legal_text,103,841943,2.3577121458219,42
T7,legal_text,104,850135,2.35766771480349,42
T7,legal_text,105,858327,2.35738544038383,42
T7,legal_text,106,866519,2.35734777749281,42
T7,legal_text,107,874711,2.3570406415957,42
T7,legal_text,108,882903,2.35692812128617,42
T7,legal_text,109,891095,2.35692711048573,42
T7,legal_text,110,899287,2.35724683531042,42
T7,legal_text,111,907479,2.35770466088433,42
T7,legal_text,112,915671,2.35803289425815,42
T7,legal_text,113,923863,2.35803098416767,43
T7,legal_text,114,931718,2.35768824405196,42
T7,legal_text,115,939910,2.35750745873298,43
T7,legal_text,116,948102,2.35767658419213,42
T7,legal_text,117,956294,2.35739553002204,41
T7,legal_text,118,964486,2.35704583529572,41
T7,legal_text,119,972678,2.35642188843589,40
T7,legal_text,120,980870,2.35552159273607,41
